move_num,eval_before,eval_diff,board_piece_count,classification,player_elo
42,-638,153,26,Blunder,1200
43,799,54,26,Mistake,1200
1,39,59,32,Mistake,1200
9,56,58,32,Mistake,1200
11,30,61,32,Mistake,1200
12,42,78,32,Mistake,1200
13,43,79,32,Mistake,1200
17,3,81,30,Mistake,1200
23,-58,124,29,Mistake,1200
27,-165,89,28,Mistake,1200
30,281,122,28,Mistake,1200
34,140,133,26,Mistake,1200
47,-29,62,19,Mistake,1200
51,-121,64,17,Mistake,1200
57,-172,59,16,Mistake,1200
58,224,135,16,Mistake,1200
61,-132,163,16,Blunder,1200
65,-372,65,14,Mistake,1200
4,-19,101,32,Mistake,1200
6,-133,68,32,Mistake,1200
8,-141,57,31,Mistake,1200
10,-203,59,31,Mistake,1200
15,298,96,30,Mistake,1200
16,-211,66,30,Mistake,1200
21,322,83,30,Mistake,1200
22,-222,68,30,Mistake,1200
23,293,163,29,Blunder,1200
24,-171,139,28,Mistake,1200
27,320,52,28,Mistake,1200
28,-269,79,28,Mistake,1200
29,374,66,28,Mistake,1200
32,-257,104,28,Mistake,1200
33,331,50,28,Mistake,1200
42,-433,138,26,Mistake,1200
8,-23,54,31,Mistake,1200
20,-111,71,26,Mistake,1200
21,191,62,26,Mistake,1200
22,-144,62,26,Mistake,1200
23,216,90,26,Mistake,1200
30,-89,66,26,Mistake,1200
32,-148,113,26,Mistake,1200
34,-245,127,26,Mistake,1200
38,-299,322,24,Blunder,1200
3,35,96,32,Mistake,1200
7,-68,61,31,Mistake,1200
8,124,63,31,Mistake,1200
22,111,174,31,Blunder,1200
27,37,99,29,Mistake,1200
40,116,54,27,Mistake,1200
53,24,68,25,Mistake,1200
54,52,126,25,Mistake,1200
59,54,68,23,Mistake,1200
31,0,107,28,Mistake,1200
39,-25,189,27,Blunder,1200
48,288,60,21,Mistake,1200
50,286,71,21,Mistake,1200
53,-150,91,18,Mistake,1200
68,369,118,14,Mistake,1200
78,419,270,12,Blunder,1200
82,195,162,9,Blunder,1200
83,-7,182,9,Blunder,1200
84,186,775,9,Blunder,1200
85,700,896,9,Blunder,1200
91,-392,126,9,Mistake,1200
92,535,76,9,Mistake,1200
93,-468,153,9,Blunder,1200
95,-650,51,9,Mistake,1200
97,-804,61,9,Mistake,1200
12,-8,53,30,Mistake,1200
16,-48,61,30,Mistake,1200
18,-91,58,30,Mistake,1200
19,178,130,30,Mistake,1200
21,58,55,30,Mistake,1200
31,-93,92,27,Mistake,1200
33,-177,76,26,Mistake,1200
44,390,66,21,Mistake,1200
45,-322,67,21,Mistake,1200
48,394,98,21,Mistake,1200
50,307,173,21,Blunder,1200
56,153,85,19,Mistake,1200
58,55,55,19,Mistake,1200
59,1,61,19,Mistake,1200
60,79,259,19,Blunder,1200
62,-23,190,18,Blunder,1200
64,-212,76,18,Mistake,1200
65,283,377,17,Blunder,1200
71,-108,269,15,Blunder,1200
72,396,373,15,Blunder,1200
24,-6,105,26,Mistake,1200
28,-123,71,25,Mistake,1200
30,-119,74,23,Mistake,1200
32,-191,135,23,Mistake,1200
34,-313,53,23,Mistake,1200
12,-17,69,30,Mistake,1200
15,49,88,28,Mistake,1200
19,-7,89,28,Mistake,1200
22,116,123,28,Mistake,1200
25,-22,437,28,Blunder,1200
29,-506,268,28,Blunder,1200
33,-922,131,27,Mistake,1200
34,1050,322,27,Blunder,1200
37,-719,67,24,Mistake,1200
39,-747,81,24,Mistake,1200
13,24,58,30,Mistake,1200
14,27,87,30,Mistake,1200
22,-46,104,26,Mistake,1200
24,-113,69,26,Mistake,1200
25,165,107,26,Mistake,1200
27,67,138,26,Mistake,1200
28,79,132,26,Mistake,1200
29,38,99,26,Mistake,1200
32,61,52,25,Mistake,1200
33,-37,80,24,Mistake,1200
48,154,61,17,Mistake,1200
51,-105,225,16,Blunder,1200
53,-359,155,15,Blunder,1200
56,505,160,14,Blunder,1200
57,-344,9655,14,Blunder,1200
7,72,58,32,Mistake,1200
14,17,78,30,Mistake,1200
17,76,73,30,Mistake,1200
28,50,172,23,Blunder,1200
29,100,78,23,Mistake,1200
47,-32,138,23,Mistake,1200
55,-197,92,21,Mistake,1200
71,-286,78,19,Mistake,1200
78,413,79,17,Mistake,1200
85,-333,136,15,Mistake,1200
108,490,98,12,Mistake,1200
111,-439,154,12,Blunder,1200
114,711,95,10,Mistake,1200
116,636,51,10,Mistake,1200
19,43,84,32,Mistake,1200
20,38,132,32,Mistake,1200
26,-54,126,32,Mistake,1200
28,-183,204,32,Blunder,1200
32,-380,107,32,Mistake,1200
38,-398,52,30,Mistake,1200
48,-380,130,26,Mistake,1200
1,39,59,32,Mistake,1200
20,77,101,30,Mistake,1200
26,39,174,27,Blunder,1200
30,-118,149,27,Mistake,1200
31,232,229,27,Blunder,1200
32,1,181,27,Blunder,1200
44,-235,53,23,Mistake,1200
45,325,165,23,Blunder,1200
47,187,61,23,Mistake,1200
51,197,91,23,Mistake,1200
53,137,75,23,Mistake,1200
55,73,430,23,Blunder,1200
63,-359,149,18,Mistake,1200
64,550,82,18,Mistake,1200
65,-453,153,18,Blunder,1200
69,-733,9266,15,Blunder,1200
18,9,54,32,Mistake,1200
19,37,118,32,Mistake,1200
22,75,151,31,Blunder,1200
23,81,56,30,Mistake,1200
27,0,76,28,Mistake,1200
28,72,164,28,Blunder,1200
30,-82,80,28,Mistake,1200
35,68,104,28,Mistake,1200
39,-11,84,28,Mistake,1200
40,106,62,27,Mistake,1200
47,-130,103,22,Mistake,1200
57,-407,76,21,Mistake,1200
69,-466,110,17,Mistake,1200
84,633,71,17,Mistake,1200
85,-564,71,17,Mistake,1200
88,752,212,14,Blunder,1200
34,-13,193,26,Blunder,1200
35,179,225,26,Blunder,1200
46,41,67,24,Mistake,1200
49,14,77,24,Mistake,1200
52,39,160,22,Blunder,1200
55,116,69,21,Mistake,1200
56,-48,208,21,Blunder,1200
60,-430,56,18,Mistake,1200
16,16,50,32,Mistake,1200
23,16,50,30,Mistake,1200
34,2,67,28,Mistake,1200
39,112,50,28,Mistake,1200
40,-42,126,28,Mistake,1200
42,-154,64,28,Mistake,1200
49,293,179,26,Blunder,1200
53,155,65,23,Mistake,1200
54,-67,108,23,Mistake,1200
58,-123,232,23,Blunder,1200
60,-371,84,23,Mistake,1200
66,-485,63,21,Mistake,1200
67,563,169,21,Blunder,1200
68,-374,84,21,Mistake,1200
74,-557,157,19,Blunder,1200
77,812,188,19,Blunder,1200
79,665,282,17,Blunder,1200
81,428,280,17,Blunder,1200
82,-185,286,16,Blunder,1200
83,452,240,16,Blunder,1200
84,-257,59,16,Mistake,1200
85,363,873,16,Blunder,1200
87,-525,93,16,Mistake,1200
3,35,96,32,Mistake,1200
10,48,86,30,Mistake,1200
11,23,60,30,Mistake,1200
14,23,75,30,Mistake,1200
18,-3,77,30,Mistake,1200
19,71,207,30,Blunder,1200
22,137,119,28,Mistake,1200
23,-8,57,28,Mistake,1200
28,62,116,25,Mistake,1200
29,63,66,25,Mistake,1200
30,-2,100,25,Mistake,1200
33,78,95,22,Mistake,1200
46,118,156,22,Blunder,1200
58,0,324,19,Blunder,1200
59,316,316,19,Blunder,1200
60,0,230,19,Blunder,1200
67,343,54,19,Mistake,1200
68,-335,54,19,Mistake,1200
90,-596,132,10,Mistake,1200
92,-834,136,10,Mistake,1200
5,19,67,32,Mistake,1200
16,0,92,29,Mistake,1200
17,82,532,29,Blunder,1200
18,465,426,29,Blunder,1200
20,75,333,29,Blunder,1200
22,-318,68,29,Mistake,1200
23,348,229,28,Blunder,1200
25,95,10094,28,Blunder,1200
6,17,323,32,Blunder,1200
11,263,112,28,Mistake,1200
16,-142,75,28,Mistake,1200
18,-204,52,28,Mistake,1200
26,-234,137,26,Mistake,1200
29,319,71,25,Mistake,1200
30,-251,115,24,Mistake,1200
39,471,59,21,Mistake,1200
43,460,69,19,Mistake,1200
45,442,100,19,Mistake,1200
46,-320,149,19,Mistake,1200
50,-533,124,19,Mistake,1200
51,677,145,19,Mistake,1200
52,-523,307,18,Blunder,1200
53,832,503,18,Blunder,1200
56,-292,144,16,Mistake,1200
59,450,98,15,Mistake,1200
63,372,91,13,Mistake,1200
65,380,201,13,Blunder,1200
67,211,98,13,Mistake,1200
68,-125,113,13,Mistake,1200
72,-249,102,13,Mistake,1200
82,-473,58,9,Mistake,1200
94,-632,52,7,Mistake,1200
95,716,131,7,Mistake,1200
99,766,75,7,Mistake,1200
9,29,74,32,Mistake,1200
10,28,60,32,Mistake,1200
19,44,59,32,Mistake,1200
25,-19,200,28,Blunder,1200
26,247,138,28,Mistake,1200
28,123,174,27,Blunder,1200
31,62,166,27,Blunder,1200
34,153,153,25,Blunder,1200
38,88,160,23,Blunder,1200
42,-138,127,23,Mistake,1200
48,-334,78,21,Mistake,1200
51,434,53,21,Mistake,1200
55,389,253,20,Blunder,1200
58,-93,53,19,Mistake,1200
63,144,380,17,Blunder,1200
65,-299,68,17,Mistake,1200
66,449,502,17,Blunder,1200
74,0,106,13,Mistake,1200
75,119,100,13,Mistake,1200
83,32,70,13,Mistake,1200
89,0,96,12,Mistake,1200
91,-98,102,12,Mistake,1200
15,17,62,31,Mistake,1200
16,42,82,31,Mistake,1200
23,86,69,30,Mistake,1200
25,37,52,30,Mistake,1200
28,4,101,30,Mistake,1200
30,-96,73,30,Mistake,1200
36,-204,188,28,Blunder,1200
41,470,62,25,Mistake,1200
45,507,112,25,Mistake,1200
50,-509,128,23,Mistake,1200
21,28,118,30,Mistake,1200
25,-34,54,29,Mistake,1200
28,65,119,28,Mistake,1200
50,-56,172,19,Blunder,1200
51,230,157,19,Blunder,1200
52,-86,277,19,Blunder,1200
58,-376,237,16,Blunder,1200
18,-19,57,32,Mistake,1200
23,64,84,32,Mistake,1200
29,-80,126,30,Mistake,1200
30,224,64,30,Mistake,1200
34,274,81,30,Mistake,1200
37,-174,150,30,Blunder,1200
47,-410,131,28,Mistake,1200
37,77,51,23,Mistake,1200
41,0,79,23,Mistake,1200
42,87,123,23,Mistake,1200
44,-38,79,23,Mistake,1200
46,-133,59,23,Mistake,1200
47,202,101,23,Mistake,1200
50,-38,149,21,Mistake,1200
66,-160,57,19,Mistake,1200
68,-191,63,19,Mistake,1200
78,-244,52,15,Mistake,1200
79,283,179,15,Blunder,1200
89,108,85,12,Mistake,1200
92,-27,104,12,Mistake,1200
98,-128,101,12,Mistake,1200
103,302,58,12,Mistake,1200
106,-311,57,12,Mistake,1200
21,-8,65,30,Mistake,1200
35,-19,158,26,Blunder,1200
37,-169,158,25,Blunder,1200
45,-365,112,20,Mistake,1200
47,-531,66,20,Mistake,1200
49,-519,61,20,Mistake,1200
52,611,150,19,Blunder,1200
54,487,76,19,Mistake,1200
64,535,107,16,Mistake,1200
65,-435,174,15,Blunder,1200
15,17,79,31,Mistake,1200
42,11,58,24,Mistake,1200
43,50,99,24,Mistake,1200
48,33,183,24,Blunder,1200
59,228,69,22,Mistake,1200
61,186,97,22,Mistake,1200
62,-86,190,21,Blunder,1200
66,-357,57,21,Mistake,1200
67,419,164,21,Blunder,1200
71,282,214,18,Blunder,1200
72,-38,175,18,Blunder,1200
73,155,155,18,Blunder,1200
42,-21,65,20,Mistake,1200
43,71,72,20,Mistake,1200
4,-39,69,32,Mistake,1200
7,102,70,32,Mistake,1200
14,-14,80,30,Mistake,1200
18,-95,64,30,Mistake,1200
20,-136,63,28,Mistake,1200
26,-137,75,28,Mistake,1200
32,-186,126,26,Mistake,1200
34,-428,83,26,Mistake,1200
51,476,52,20,Mistake,1200
52,-467,248,20,Blunder,1200
10,31,78,32,Mistake,1200
17,68,67,32,Mistake,1200
20,36,59,32,Mistake,1200
37,-37,83,28,Mistake,1200
40,124,62,26,Mistake,1200
43,-39,102,24,Mistake,1200
56,183,64,24,Mistake,1200
57,-93,121,24,Mistake,1200
72,327,54,19,Mistake,1200
75,-269,55,19,Mistake,1200
84,359,67,19,Mistake,1200
92,463,115,17,Mistake,1200
94,398,52,17,Mistake,1200
97,-454,50,17,Mistake,1200
98,497,177,17,Blunder,1200
101,-359,187,17,Blunder,1200
1,39,59,32,Mistake,1200
16,24,51,30,Mistake,1200
17,33,80,30,Mistake,1200
20,27,61,30,Mistake,1200
26,0,92,28,Mistake,1200
29,91,143,28,Mistake,1200
30,46,148,28,Mistake,1200
34,-84,116,26,Mistake,1200
36,-222,51,26,Mistake,1200
37,293,95,26,Mistake,1200
38,-180,108,26,Mistake,1200
39,283,154,26,Blunder,1200
42,-180,60,26,Mistake,1200
49,209,146,25,Mistake,1200
53,66,60,21,Mistake,1200
60,-27,188,18,Blunder,1200
64,-206,55,18,Mistake,1200
68,-288,153,16,Blunder,1200
69,433,76,16,Mistake,1200
77,452,164,14,Blunder,1200
79,364,159,14,Blunder,1200
80,-209,132,14,Mistake,1200
83,475,152,14,Blunder,1200
91,343,115,14,Mistake,1200
92,-274,67,14,Mistake,1200
96,-372,95,14,Mistake,1200
101,578,79,14,Mistake,1200
102,-524,112,13,Mistake,1200
27,16,104,30,Mistake,1200
37,-98,52,26,Mistake,1200
40,160,78,24,Mistake,1200
42,122,55,24,Mistake,1200
43,-68,62,24,Mistake,1200
48,161,102,24,Mistake,1200
50,40,106,24,Mistake,1200
55,71,138,20,Mistake,1200
56,70,200,20,Blunder,1200
57,109,142,20,Mistake,1200
58,35,70,20,Mistake,1200
59,41,188,20,Blunder,1200
78,274,63,15,Mistake,1200
79,-208,93,15,Mistake,1200
83,-349,113,13,Mistake,1200
84,509,62,13,Mistake,1200
86,513,143,13,Mistake,1200
10,31,78,32,Mistake,1200
18,-20,56,32,Mistake,1200
21,80,69,30,Mistake,1200
27,44,58,30,Mistake,1200
43,64,53,26,Mistake,1200
48,19,452,26,Blunder,1200
49,397,394,26,Blunder,1200
51,8,81,26,Mistake,1200
56,72,67,24,Mistake,1200
57,-24,109,24,Mistake,1200
60,145,91,24,Mistake,1200
61,-40,89,24,Mistake,1200
62,128,92,24,Mistake,1200
64,46,77,24,Mistake,1200
65,27,56,24,Mistake,1200
69,-6,51,24,Mistake,1200
91,-2,68,18,Mistake,1200
95,-34,183,16,Blunder,1200
97,-195,210,16,Blunder,1200
98,407,260,16,Blunder,1200
99,-114,176,16,Blunder,1200
100,426,137,16,Mistake,1200
101,-311,209,16,Blunder,1200
102,526,526,16,Blunder,1200
103,0,262,16,Blunder,1200
104,249,132,16,Mistake,1200
114,189,151,13,Blunder,1200
115,-8,279,13,Blunder,1200
118,333,328,12,Blunder,1200
124,5,206,11,Blunder,1200
127,338,338,11,Blunder,1200
133,0,278,11,Blunder,1200
135,-292,105,11,Mistake,1200
137,-429,60,11,Mistake,1200
138,492,498,11,Blunder,1200
142,0,268,9,Blunder,1200
144,-346,123,9,Mistake,1200
23,114,80,29,Mistake,1200
24,-29,143,28,Mistake,1200
25,162,185,28,Blunder,1200
36,120,204,24,Blunder,1200
37,83,83,24,Mistake,1200
43,0,89,24,Mistake,1200
47,28,62,24,Mistake,1200
50,31,73,24,Mistake,1200
55,96,222,24,Blunder,1200
59,-129,79,24,Mistake,1200
65,-170,76,24,Mistake,1200
67,-243,55,23,Mistake,1200
71,-326,65,23,Mistake,1200
45,-69,105,28,Mistake,1200
47,-210,60,28,Mistake,1200
60,370,118,21,Mistake,1200
70,347,123,21,Mistake,1200
71,-202,267,21,Blunder,1200
76,451,127,19,Mistake,1200
78,361,58,19,Mistake,1200
79,-288,122,19,Mistake,1200
85,-477,77,19,Mistake,1200
88,619,106,19,Mistake,1200
91,-539,173,19,Blunder,1200
93,-698,105,17,Mistake,1200
11,34,60,32,Mistake,1200
35,-42,87,26,Mistake,1200
41,-98,129,24,Mistake,1200
44,224,60,24,Mistake,1200
52,179,57,24,Mistake,1200
53,-138,62,24,Mistake,1200
64,290,140,21,Mistake,1200
89,0,68,18,Mistake,1200
93,-78,63,18,Mistake,1200
94,138,86,18,Mistake,1200
24,-15,74,26,Mistake,1200
34,-136,53,26,Mistake,1200
36,-264,173,26,Blunder,1200
51,494,69,18,Mistake,1200
55,466,128,17,Mistake,1200
59,409,62,15,Mistake,1200
74,-623,161,12,Blunder,1200
17,30,67,30,Mistake,1200
22,63,53,30,Mistake,1200
33,27,53,29,Mistake,1200
46,125,53,28,Mistake,1200
51,-73,56,28,Mistake,1200
53,-74,53,28,Mistake,1200
58,167,102,28,Mistake,1200
61,-51,121,28,Mistake,1200
64,190,155,28,Blunder,1200
74,110,50,25,Mistake,1200
85,-75,63,23,Mistake,1200
87,-69,223,23,Blunder,1200
88,305,99,22,Mistake,1200
91,-256,66,19,Mistake,1200
93,-246,220,19,Blunder,1200
29,17,52,28,Mistake,1200
32,-7,71,28,Mistake,1200
39,38,59,28,Mistake,1200
43,15,116,28,Mistake,1200
44,79,98,28,Mistake,1200
45,23,80,27,Mistake,1200
54,0,110,25,Mistake,1200
56,-102,66,25,Mistake,1200
57,182,104,25,Mistake,1200
58,-55,110,25,Mistake,1200
61,204,112,25,Mistake,1200
63,85,183,23,Blunder,1200
76,79,79,18,Mistake,1200
77,0,51,18,Mistake,1200
78,64,67,18,Mistake,1200
84,31,165,18,Blunder,1200
85,154,190,18,Blunder,1200
88,38,218,18,Blunder,1200
89,156,156,18,Blunder,1200
90,0,341,17,Blunder,1200
92,-419,152,16,Blunder,1200
12,-7,84,31,Mistake,1200
